task_name,task_id,is_issue,issue_type
normal_single_turn_single_function,9,1,
normal_similar_api,47,1,
normal_single_turn_parallel_function,71,0,
normal_similar_api,17,0,
normal_multi_turn_user_switch,6_0,0,
normal_multi_turn_user_switch,46_0,1,
normal_multi_turn_user_adjust,8_1,1,
normal_multi_turn_user_adjust,30_2,0,
normal_atom_number,5,0,
normal_atom_number,4,0,
normal_atom_list,6,0,
normal_atom_enum,22,1,
normal_atom_enum,0,0,
normal_single_turn_parallel_function,16,0,
normal_similar_api,7,0,
normal_similar_api,0,0,
normal_preference,28,0,
normal_multi_turn_user_switch,27_0,0,
normal_multi_turn_user_switch,17_0,0,
normal_multi_turn_user_adjust,44_1,0,
normal_multi_turn_user_adjust,40_0,0,
normal_multi_turn_user_adjust,2_2,0,
normal_multi_turn_user_adjust,10_1,0,
normal_atom_object_deep,47,0,
normal_atom_number,46,0,
normal_atom_number,35,0,
normal_atom_number,16,0,
normal_atom_list,33,0,
normal_atom_list,30,0,
normal_atom_list,27,0,
normal_atom_list,25,0,
normal_atom_enum,24,1,
normal_atom_enum,13,0,
normal_atom_bool,38,0,
normal_atom_bool,35,0,
normal_atom_bool,2,0,
normal_single_turn_single_function,85,1,
normal_single_turn_single_function,59,0,
normal_single_turn_single_function,50,1,
normal_single_turn_parallel_function,74,1,
normal_single_turn_parallel_function,68,1,
normal_single_turn_parallel_function,14,0,
normal_similar_api,18,1,
normal_similar_api,12,1,
normal_preference,8,1,
normal_preference,43,1,
normal_preference,40,1,
normal_preference,34,1,
normal_atom_list,34,1,
normal_single_turn_single_function,91,0,
normal_single_turn_parallel_function,94,0,
normal_single_turn_parallel_function,83,0,
normal_single_turn_parallel_function,81,1,
normal_single_turn_parallel_function,79,0,
normal_single_turn_parallel_function,56,0,
normal_single_turn_parallel_function,53,1,
normal_preference,5,1,
normal_preference,49,1,
normal_preference,48,1,
normal_preference,44,1,
normal_preference,26,1,
normal_preference,25,1,
normal_preference,21,1,
normal_preference,0,1,
normal_multi_turn_user_switch,9_1,1,
normal_multi_turn_user_switch,45_1,1,
normal_multi_turn_user_switch,41_1,1,
normal_multi_turn_user_switch,11_1,0,
normal_multi_turn_user_switch,10_0,1,
normal_multi_turn_user_adjust,35_2,1,
normal_atom_object_short,41,1,
normal_atom_object_short,40,1,
normal_atom_object_deep,36,0,
normal_atom_object_deep,29,1,
normal_atom_object_deep,25,1,
normal_atom_object_deep,15,1,
normal_atom_list,35,1,
normal_atom_list,31,1,
agent_multi_turn,26,0,
agent_multi_turn,21,1,
normal_single_turn_parallel_function,86,0,
normal_single_turn_parallel_function,7,0,
normal_single_turn_parallel_function,1,0,
normal_preference,9,0,
normal_preference,3,0,
normal_preference,22,0,
normal_preference,15,1,
normal_multi_turn_user_switch,8_0,0,
normal_multi_turn_user_switch,4_0,0,
normal_multi_turn_user_switch,32_1,1,
normal_multi_turn_user_switch,31_0,1,
normal_multi_turn_user_switch,28_0,0,
normal_multi_turn_user_switch,15_0,1,
normal_multi_turn_user_adjust,41_0,0,
normal_multi_turn_user_adjust,38_2,0,
normal_multi_turn_user_adjust,37_2,0,
normal_multi_turn_user_adjust,16_0,1,
normal_multi_turn_user_adjust,12_0,0,
normal_atom_object_short,4,0,
normal_atom_object_short,39,0,
normal_atom_object_short,38,1,
normal_atom_object_short,36,0,
normal_atom_number,44,1,
normal_atom_list,47,0,
