task_name,task_id,is_issue,issue_type
Flights,54,1,incorrect_parameter_value
Flights,50,1,incorrect_parameter_value
Cross,293,1,incorrect_api_results
Attraction,98,1,incorrect_parameter_value
Attraction,63,1,incorrect_parameter_value
Hotels,90,1,
Hotels,80,0,
Hotels,73,0,
Hotels,43,0,
Hotels,37,0,
Hotels,148,0,
Hotels,132,0,
Hotels,106,0,
Hotels,10,0,
Flights,7,0,
Flights,64,0,
Flights,44,0,
Flights,35,0,
Flights,24,0,
Flights,19,0,
Flights,113,0,
Flights,106,#VALUE!,
Flights,102,0,
Cross,81,0,
Cross,75,0,
Cross,74,0,
Cross,54,0,
Cross,41,0,
Cross,399,0,
Cross,377,0,
Cross,346,0,
Cross,344,1,
Cross,312,0,
Cross,3,0,
Cross,289,0,
Cross,229,0,
Cross,216,0,
Cross,190,0,
Cross,153,0,
Cross,114,0,
Car-Rental,91,0,
Car-Rental,84,0,
Car-Rental,78,0,
Car-Rental,7,0,
Car-Rental,59,0,
Car-Rental,34,0,
Car-Rental,131,0,
Car-Rental,104,0,
Attraction,79,0,
Attraction,75,1,
Attraction,66,0,
Attraction,58,1,
Attraction,5,0,
Attraction,4,0,
Attraction,34,0,
Attraction,119,0,
Hotels,65,1,incorrect_api_results
Hotels,58,1,incorrect_api_results
Hotels,139,1,incorrect_parameter_value
Hotels,103,1,incorrect_parameter_value
Flights,90,1,incorrect_parameter_value
Flights,17,1,incorrect_parameter_value
Flights,124,1,incorrect_parameter_value
Cross,97,1,incorrect_api_results
Cross,8,1,incorrect_api_results
Cross,392,1,incorrect_parameter_value
Cross,383,1,incorrect_parameter_value
Cross,358,1,incorrect_parameter_value
Cross,321,1,incorrect_api_results
Cross,316,1,incorrect_api_results
Cross,304,1,incorrect_parameter_value
Cross,236,1,incorrect_parameter_value
Cross,175,1,incorrect_api_results
Cross,127,1,incorrect_parameter_value
Cross,120,1,incorrect_parameter_value
Cross,119,1,incorrect_parameter_value
Car-Rental,58,1,incorrect_parameter_value
Car-Rental,24,1,incorrect_api_results
Car-Rental,121,1,incorrect_parameter_value
Attraction,91,1,incorrect_parameter_value
Attraction,136,1,ambiguous_parameters
Attraction,107,1,incorrect_parameter_value
Hotels,69,1,
Hotels,63,1,
Hotels,53,1,
Hotels,101,1,
Cross,59,1,
Cross,55,1,
Cross,351,1,
Cross,310,1,
Cross,286,1,
Cross,285,1,
Cross,210,1,
Cross,176,0,
Cross,159,1,
Car-Rental,47,1,
Car-Rental,2,0,
Car-Rental,142,1,
Attraction,48,0,
Attraction,43,0,
Attraction,29,1,
