task_name,task_id,is_issue,issue_type
retail,34,1,
retail,27,0,
airline,26,1,
retail,99,1,
retail,58,0,
retail,54,0,
retail,40,0,
retail,36,0,
retail,29,0,
retail,26,0,
retail,107,0,
retail,103,0,
airline,20,0,
retail,23,0,
airline,44,0,
retail,12,0,
retail,105,1,
airline,45,1,
airline,34,1,
airline,27,1,
airline,25,1,
airline,22,1,
airline,19,1,
retail,4,1,
retail,17,0,
retail,104,1,
retail,102,0,
airline,46,1,
airline,3,1,
airline,29,0,
airline,16,1,
airline,8,0,
