task_name,task_id,is_issue,issue_type
multi_turn_miss_func,8,1,
multi_turn_miss_func,15,1,
multi_turn_miss_func,18,0,
multi_turn_miss_func,10,1,
multi_turn_miss_func,5,0,
multi_turn_miss_func,34,1,
multi_turn_miss_func,40,0,
multi_turn_miss_func,49,1,
multi_turn_miss_func,62,0,
multi_turn_miss_func,66,0,
multi_turn_miss_func,80,1,
multi_turn_miss_func,92,0,
multi_turn_miss_func,95,1,
multi_turn_miss_func,119,0,
multi_turn_miss_func,97,1,
multi_turn_miss_func,129,0,
multi_turn_miss_func,144,0,
multi_turn_miss_func,151,0,
multi_turn_miss_param,42,1,
multi_turn_miss_param,35,0,
multi_turn_miss_param,48,0,
multi_turn_miss_param,57,0,
multi_turn_miss_param,89,1,
multi_turn_miss_param,97,1,
multi_turn_miss_param,102,0,
multi_turn_miss_param,95,0,
multi_turn_miss_param,178,0,
multi_turn_long_context,8,0,
multi_turn_long_context,11,1,
multi_turn_long_context,31,1,
multi_turn_long_context,29,1,
multi_turn_long_context,16,1,
multi_turn_long_context,44,0,
multi_turn_long_context,67,1,
multi_turn_long_context,41,1,
multi_turn_long_context,40,0,
multi_turn_long_context,38,1,
multi_turn_long_context,72,0,
multi_turn_long_context,120,0,
multi_turn_long_context,154,0,
multi_turn_long_context,145,0,
multi_turn_long_context,178,1,
multi_turn_long_context,188,1,
multi_turn_long_context,189,0,
multi_turn_long_context,180,1,
multi_turn_long_context,193,0,
multi_turn_base,7,0,
multi_turn_base,6,0,
multi_turn_base,9,0,
multi_turn_base,12,0,
multi_turn_base,18,0,
multi_turn_base,16,0,
multi_turn_base,29,0,
multi_turn_base,17,0,
multi_turn_base,21,1,
multi_turn_long_context,184,0,
multi_turn_base,36,0,
multi_turn_base,30,1,
multi_turn_base,33,0,
multi_turn_base,37,0,
multi_turn_base,35,1,
multi_turn_base,49,1,
multi_turn_base,60,0,
multi_turn_base,75,0,
multi_turn_base,80,1,
multi_turn_base,91,0,
multi_turn_base,89,1,
multi_turn_base,113,0,
multi_turn_base,112,0,
multi_turn_base,72,0,
multi_turn_base,114,1,
multi_turn_base,121,0,
multi_turn_base,117,0,
multi_turn_base,144,0,
multi_turn_base,137,1,
multi_turn_base,154,1,
multi_turn_base,160,0,
multi_turn_base,162,0,
multi_turn_base,176,0,
multi_turn_base,179,1,
