task_name,task_id,is_issue,issue_type
add_text,61,0,
revise_text,34,0,
refresh_table,39,1,system_prompt_error
revise_table,45,0,
map_vector,49,1,system_prompt_error
refresh_text,65,0,
add_vector,66,0,
delete_vector,23,0,
add_vector,71,1,system_prompt_error
add_text,17,1,system_prompt_error
refresh_vector,44,0,
add_vector,18,1,system_prompt_error
add_table,125,1,duplicate_question
revise_table,74,0,
map_text,2,0,
refresh_text,34,1,system_prompt_error
refresh_table,10,0,
add_vector,95,1,duplicate_question
add_table,66,0,
refresh_vector,80,1,system_prompt_error
map_vector,19,1,system_prompt_error
add_text,33,0,
add_vector,34,1,system_prompt_error
add_vector,45,0,
revise_table,102,1,duplicate_question
map_text,17,0,
delete_vector,122,1,duplicate_question
delete_vector,45,0,
refresh_vector,13,0,
refresh_text,54,1,system_prompt_error
refresh_table,35,1,system_prompt_error
map_text,160,1,duplicate_question
revise_table,135,1,duplicate_question
add_table,24,0,
delete_vector,114,1,duplicate_question
refresh_table,76,1,system_prompt_error
revise_table,113,1,duplicate_question
add_text,49,1,system_prompt_error
refresh_vector,159,1,duplicate_question
refresh_text,125,1,duplicate_question
refresh_text,66,0,
add_table,121,1,duplicate_question
refresh_text,75,1,system_prompt_error
refresh_table,123,1,duplicate_question
map_vector,45,0,
revise_table,97,1,duplicate_question
map_text,119,1,duplicate_question
map_text,36,0,
map_table,66,0,
refresh_text,37,1,system_prompt_error
revise_table,124,1,duplicate_question
add_text,70,1,system_prompt_error
refresh_table,94,1,duplicate_question
refresh_vector,35,0,
add_text,46,1,system_prompt_error
add_table,17,0,
add_text,71,0,
delete_vector,31,0,
add_table,120,1,duplicate_question
add_text,12,0,
revise_text,35,0,
map_table,41,0,
map_table,152,1,duplicate_question
map_text,15,0,
refresh_vector,56,1,system_prompt_error
refresh_text,32,1,system_prompt_error
map_vector,68,1,system_prompt_error
revise_text,48,1,system_prompt_error
map_table,139,1,duplicate_question
refresh_text,140,1,duplicate_question
map_table,1,0,
add_table,86,1,duplicate_question
refresh_table,64,0,
add_vector,136,1,duplicate_question
add_vector,44,0,
revise_table,75,0,
delete_vector,2,0,
revise_table,42,0,
refresh_table,3,0,
refresh_table,23,0,
add_table,34,0,
revise_text,116,1,duplicate_question
add_vector,5,0,
map_table,160,1,duplicate_question
delete_vector,55,0,
revise_table,2,0,
refresh_table,20,1,system_prompt_error
revise_text,36,1,system_prompt_error
delete_vector,116,1,duplicate_question
add_table,47,0,
map_table,23,0,
revise_table,20,1,system_prompt_error
refresh_table,62,0,
map_table,61,0,
map_vector,6,1,system_prompt_error
map_table,9,0,
revise_table,31,0,
refresh_vector,1,0,
delete_vector,61,0,
revise_table,4,0,
